n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank,LGBMRegressor_vs_mean_r2_ratio,LGBMRegressor_vs_stump_r2_ratio,XGBRegressor_1pct_r2,XGBRegressor_vs_mean_r2_ratio,XGBRegressor_vs_stump_r2_ratio,RandomForestRegressor_1pct_r2,RandomForestRegressor_vs_mean_r2_ratio,RandomForestRegressor_vs_stump_r2_ratio,DecisionTreeRegressor_1pct_r2,DecisionTreeRegressor_vs_mean_r2_ratio,DecisionTreeRegressor_vs_stump_r2_ratio,HistGradientBoostingRegressor_1pct_r2,HistGradientBoostingRegressor_vs_mean_r2_ratio,HistGradientBoostingRegressor_vs_stump_r2_ratio,LinearRegression_1pct_r2,LinearRegression_vs_mean_r2_ratio,LinearRegression_vs_stump_r2_ratio,BayesianRidge_1pct_r2,BayesianRidge_vs_mean_r2_ratio,BayesianRidge_vs_stump_r2_ratio,GradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_vs_mean_r2_ratio,GradientBoostingRegressor_vs_stump_r2_ratio,MLPRegressor_vs_mean_r2_ratio,MLPRegressor_vs_stump_r2_ratio,SVR_1pct_r2,SVR_vs_mean_r2_ratio,SVR_vs_stump_r2_ratio
61,2,4.127134385045092,1.0986122886681098,0.03278688524590164,3.2903934426229506,0.3260825742092061,-0.16402696768192362,-0.37059415799050344,0.0,-2.0,0.05664999205671784,0.05664999205671784,-0.4362957655970383,-0.17433581317744373,-1743358131.7744372,0.18833655963619755,1883365596.3619754,-0.3626723728136413,1,0,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,13,5.717027701406222,2.6390573296152584,0.0429042904290429,0.9372937293729373,1.2265067259116655,1.0532483070030871,-0.15621171477513585,1.0008059009776828,-0.3550732106568475,0.1558857102232555,0.577536816729141,-0.00048116152600097273,0.217393691676119,2173936916.76119,0.5197885991961344,5197885991.961344,-0.3023949075200154,1,1,0,1,2,3,4,9,8,6,7,10,5,-21043689.320388027,-0.009679990784525467,0.034119367599487305,341193675.99487305,0.15694736740714435,0.282709433656958,2827094336.56958,1.300449113666779,-0.56084142394822,-5608414239.4822,-2.579842219082336,-0.0021043689320388026,-21043689.320388027,-0.009679990784525467,-1.2311998075722226,-12311998075.722225,-5.663456920389892,-1.231188851353235,-12311888513.532349,-5.663406522336006,-0.23997262609488845,-2399726260.9488845,-1.1038619577444242,1061910730.481409,0.4884735717462686,-0.1961863520975322,-1961863520.975322,-0.902447309233875
159,15,5.075173815233827,2.772588722239781,0.09433962264150944,11445.729559748428,5859.343216339359,1.5765463970758375,2.4811958332944064,0.9797714932966998,0.08812926142457389,0.3847409464325406,0.9719988006718845,-0.0005144105657548526,0.7833005057412029,7833005057.412029,0.7106502814609699,7106502814.609698,0.07265022428023304,1,1,1,7,8,9,1,3,4,5,2,6,10,-2847198333.9846973,-0.3634873606127087,0.6234727769540042,6234727769.540041,0.795956050563301,0.7632674356245212,7632674356.245212,0.9744247961416477,0.19511272556907933,1951127255.6907933,0.24909051397133047,-0.28471983339846973,-2847198333.9846973,-0.3634873606127087,-1.0232849822747063,-10232849822.747063,-1.3063760010041314,0.5391462834827194,5391462834.827194,0.6883006962603055,0.6191957323379931,6191957323.3799305,0.7904957647794129,-44110821623.07757,-5.631404716295624,-0.03829033084569855,-382903308.4569855,-0.04888332200100661
398,7,5.988961416889864,2.0794415416798357,0.017587939698492462,23.514572864321607,7.806159061274433,0.45534192556309266,-0.5194245405990445,0.7536180504038377,-0.7626083967238397,0.5587302026508759,0.9333605245144146,-0.0008813493931174587,0.5572362524722965,5572362524.722964,0.8497420053487075,8497420053.487075,-0.292505752876411,1,1,1,7,6,8,3,5,1,2,4,9,10,-502573127.20039636,-0.09019031424653806,0.6900254141730529,6900254141.730528,1.2382995742140057,0.7755824405636724,7755824405.6367235,1.3918377297288842,0.4749558477415131,4749558477.415131,0.8523419745830805,-0.05025731949314283,-502573194.93142825,-0.0901903264013524,-3.6565739303933222,-36565739303.93322,-6.561981411241926,0.8012730046476032,8012730046.476031,1.4379412701391665,0.557521433121468,5575214331.21468,1.0005117769131249,873082895.997701,0.15668092162419156,0.1463354473759717,1463354473.759717,0.2626093451865767
125,4,4.836281906951478,1.6094379124341003,0.032,23.464,15.815204835853377,1.5711575973974423,2.9762566047714643,0.9617582536442946,-0.8371227650517841,0.3241608535405578,0.642857142857143,-0.005294914232750081,-0.021642446523143066,-216424465.23143065,-0.12450174392009483,-1245017439.2009482,0.10285929739695177,1,1,0,1,3,2,6,8,5,4,9,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,18,6.037870919922137,2.9444389791664403,0.0430622009569378,1917.7822966507176,1103.350821967931,0.47090441693552926,-0.4907107143713749,1.6682661384960353,2.4329343824054686,0.15549372915160167,0.5520799215143224,-0.0018205746051336291,0.23486007548255106,2348600754.8255105,0.4656095713295737,4656095713.295737,-0.23074949584702265,1,1,0,2,1,8,6,3,5,4,7,9,10,-338079257.10174656,-0.14394922440824312,-0.17613776614344068,-1761377661.4344068,-0.7499689582469151,0.33529985747058566,3352998574.7058563,1.4276579652019092,-0.0680558912454472,-680558912.454472,-0.2897720743111292,-0.03380792571017466,-338079257.10174656,-0.14394922440824312,0.0005105513285297292,5105513.285297291,0.002173853208046255,0.21536515378771814,2153651537.8771815,0.9169934623635881,0.25738860244119843,2573886024.4119844,1.0959231870821788,-19379716414.49672,-8.251601032946333,-0.05904900016381487,-590490001.6381487,-0.2514220437104557
189,9,5.247024072160486,2.302585092994046,0.047619047619047616,2944.6560846560847,727.091228257506,-0.2084992549065063,-0.11085672904511235,1.3257569187468488,0.04794321943229152,0.11544392384635144,0.3390307448602245,-0.019245099599725535,0.6041339659976623,6041339659.976624,0.5807210700917915,5807210700.917915,0.023412895905870812,1,1,0,7,6,10,3,8,1,5,2,4,9,-124986187.41732636,-0.020688488721359196,-0.16183933080243262,-1618393308.024326,-0.26788649523317626,-0.14615581041024384,-1461558104.1024382,-0.24192615981934273,-0.32167861337304515,-3216786133.7304516,-0.532462386619543,-0.012498618741732637,-124986187.41732636,-0.020688488721359196,-0.46171837668736737,-4617183766.873673,-0.7642648860586561,0.01420307440862445,142030744.0862445,0.023509809426406937,-0.29303444773458964,-2930344477.3458962,-0.48504878756597425,-178570741065.16974,-29.558136293542006,-0.013898785594689267,-138987855.94689265,-0.023006131714075895
303,13,5.717027701406222,2.6390573296152584,0.0429042904290429,246.69306930693068,51.6914064726489,1.1298741026270545,4.398208250636747,1.35567956005084,0.4264826484930473,0.19320579775948446,0.577536816729141,-0.0018767357302618137,0.026118072590234465,261180725.90234464,0.1144924649949628,1144924649.9496279,-0.08837439240472833,1,1,0,3,1,7,2,4,5,6,8,9,10,-2129429397.7664778,-8.153087829929191,-0.16783795295918624,-1678379529.5918624,-6.42612322863138,-0.20353977931817369,-2035397793.1817367,-7.793062777315241,-0.12187743214587088,-1218774321.4587088,-4.666402228755609,-0.2129429397766478,-2129429397.7664778,-8.153087829929191,-0.25738909876940497,-2573890987.6940494,-9.854827452529657,-0.17788872497613628,-1778887249.7613628,-6.810943815304687,-0.2224817759885962,-2224817759.885962,-8.5183075902692,-70356010039.08759,-269.3767305991548,-0.07322036826561118,-732203682.6561117,-2.803436892697367
108,5,4.6913478822291435,1.791759469228055,0.046296296296296294,1.2325925925925925,1.0721805147648538,1.9262308316260888,4.748231673347808,0.12501666961998592,-0.6682829302031954,0.2721021459225886,0.8522234032786355,-0.011098022922293449,0.5571446479341167,5571446479.3411665,0.9232582061925585,9232582061.925585,-0.36611355825844183,1,1,1,3,4,9,5,6,8,7,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,10,5.278114659230517,2.3978952727983707,0.05128205128205128,558.7282051282051,417.6427905357903,1.051579050359629,0.33374127940926934,0.8760966405211125,-0.03615565770814344,0.07835152448654306,0.26967721663724675,-0.03327676193142337,0.5184418235687238,5184418235.687238,0.5576935876404612,5576935876.404612,-0.03925176407173736,1,1,0,3,2,9,1,6,4,5,7,8,10,-578474728.4350011,-0.11157948725144075,-0.17656169430364366,-1765616943.0364366,-0.34056221214614046,0.23014290184538722,2301429018.453872,0.4439126848624701,0.3815976773526989,3815976773.526989,0.73604724774315,-0.057847472843500114,-578474728.4350011,-0.11157948725144075,0.192440627461145,1924406274.6114497,0.37119039921677033,-0.057845150609489915,-578451506.0948992,-0.1115750079947438,0.4439438388014695,4439438388.014694,0.8563040607826675,-13658865934.995762,-2.634599546960579,-0.1535214547075754,-1535214547.075754,-0.2961208909628504
