n_samples,n_features_original,n_features_processed,log_n_samples,log_n_features,feature_ratio,feature_expansion_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,baseline_difficulty,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank
42,2,2,3.7612001156935624,1.0986122886681098,0.047619047619047616,1.0,3.344952380952381,0.3403220821932352,-0.18493035771131286,-0.7241514555296522,-1.847838004147685e-15,-2.0,0.04000324363774505,0.04000324363774505,-0.2268521619947228,-0.6888485187202094,-6888485187.202093,-0.14255945777206458,-1425594577.7206457,1.2268521619947228,-0.5462890609481448,1,0,0,0,1,2,3,4,5,6,7,8,9
38,2,2,3.6635616461296463,1.0986122886681098,0.05263157894736842,1.0,41.588184210526315,26.000229873053733,1.0516302137896807,-0.028425491788012014,0.0,-2.0,0.7783623168902722,0.7783623168902722,-0.09085897066897575,0.5655776084356299,5655776084.356298,0.7705862473634543,7705862473.634542,1.0908589706689757,-0.2050086389278244,1,0,1,2,3,8,1,4,6,7,0,5,9
14,8,8,2.70805020110221,2.1972245773362196,0.5714285714285714,1.0,100.42857142857143,12.518996554248055,0.9833437131212822,-0.11352012198895434,1.9648929544646014,2.437169631513182,0.19679719003403612,0.651640833994588,-4.56588365278378,-4.755242109814096,-47552421098.14095,-1699.2008637050476,-16992008637050.475,5.56588365278378,1694.4456215952334,1,0,0,6,5,9,2,7,0,4,1,3,8
33,4,4,3.5263605246161616,1.6094379124341003,0.12121212121212122,1.0,344.06060606060606,281.5581577793852,0.7252369723577737,-0.49754784905454486,1.1484186677386798,-0.6716951711402599,0.09741085393689981,0.2735386447451761,-0.0785577785495779,0.6741093101165454,6741093101.165454,0.8341312698430526,8341312698.430526,1.078557778549578,-0.16002195972650723,1,0,1,1,2,8,0,3,6,7,4,5,9
64,5,5,4.174387269895637,1.791759469228055,0.078125,1.0,5.9375,1.2456272723360313,-1.1229350701577174,0.548570456760487,1.273347836163297,0.014591229529129723,0.22529176428205067,0.6151501826587593,-0.38906547997457097,0.32371180613469197,3237118061.3469195,0.43895038727085023,4389503872.708502,1.389065479974571,-0.11523858113615826,1,0,0,0,1,2,5,7,3,4,8,6,9
42,10,10,3.7612001156935624,2.3978952727983707,0.23809523809523808,1.0,2.357142857142857,1.3033059010750325,0.986512964363639,0.348080473372784,2.236448770073455,3.7179827541203014,0.18665538391350375,0.9149032973959237,-0.5247120774588077,-1.0984179456906733,-10984179456.906733,-0.2683533642743525,-2683533642.743525,1.5247120774588077,-0.8300645814163208,1,0,0,4,1,7,3,2,5,6,8,9,0
18,7,7,2.9444389791664403,2.0794415416798357,0.3888888888888889,1.0,394775.1666666667,119823.59870794872,-0.08337080606261135,-0.9561819808125747,1.8737460723326331,1.8004952794177838,0.3080149595908869,0.9980340913623725,-0.6042442304814128,-0.6722216764544986,-6722216764.544986,-0.684728284226237,-6847282842.26237,1.6042442304814128,0.012506607771738398,1,0,0,3,0,2,1,7,4,5,6,8,9
70,2,2,4.2626798770413155,1.0986122886681098,0.02857142857142857,1.0,5.6,3.957747859066066,0.08652018679433074,-1.8664278619176744,0.0,-2.0,0.10654488049609946,0.10654488049609946,-0.20884906117350077,0.7154444162502602,7154444162.502602,0.8870147438569231,8870147438.569231,1.2088490611735008,-0.1715703276066629,1,0,1,7,6,8,1,5,0,2,3,4,9
46,14,14,3.8501476017100584,2.70805020110221,0.30434782608695654,1.0,32506.739130434784,54910.76170111922,2.639822212610781,7.292484221124113,3.201177436603985,8.515730724654475,0.61979138918727,0.9979238886362005,-3.495103288422504,-0.32415963515371105,-3241596351.5371103,1.0,10000000000.0,4.495103288422504,-1.324159635153711,1,0,0,7,0,8,3,2,6,5,4,1,9
70,3,3,4.2626798770413155,1.3862943611198906,0.04285714285714286,1.0,3071.842857142857,8088.560821515409,4.183986499608919,18.146992855195833,0.39055794319552023,-1.5,0.03210152571416434,0.0588401555974302,-0.0735831915702323,0.07228190967660186,722819096.7660186,0.16863714037040622,1686371403.7040622,1.0735831915702323,-0.09635523069380436,1,0,0,7,6,8,2,1,4,5,0,3,9
