n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,simple_rule_r2,LGBMRegressor_1pct_r2,XGBRegressor_1pct_r2,RandomForestRegressor_1pct_r2,DecisionTreeRegressor_1pct_r2,HistGradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_1pct_r2,MLPRegressor_1pct_r2,BayesianRidge_1pct_r2,LinearRegression_1pct_r2,SVR_1pct_r2,TabPFNRegressor_1pct_r2,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,TabPFNRegressor_rank,RandomForestRegressor_rank,SVR_rank,XGBRegressor_rank,GradientBoostingRegressor_rank,HistGradientBoostingRegressor_rank,MLPRegressor_rank,LinearRegression_rank,LGBMRegressor_rank,DecisionTreeRegressor_rank
195,10,5.278114659,2.397895273,0.05128205128,558.7282051,417.6427905,1.05157905,0.3337412794,0.8760966405,-0.03615565771,0.07835152449,0.2696772166,-0.03327676193,0.5184418236,0.5576935876,-0.6385988923,-0.7650392254,-0.6291406675,-0.7945349498,-0.6385988923,-0.7829675183,-1.334719695,-0.6385944826,-1.756799267,-0.8580197201,-0.5567354986,-0.03925176407,1,1,0,3,6,1,10,8,7,5,11,2,4,9
40768,10,10.61567727,2.397895273,0.0002452904239,0.009558489703,4.392556806,-0.007670923217,-0.6069512923,-0.3484539554,-0.2560693763,0.004075959937,0.01387631673,-0.0004252377797,0.450679024,0.7056422788,0.9225183931,0.9116485898,0.9225529724,0.8731307059,0.9225183936,0.9300857698,0.9015104182,0.6901140471,0.6919852071,0.816524533,0.9187690221,-0.2549632548,0,0,1,9,11,7,6,5,3,1,4,10,2,8
16599,18,9.717157974,2.944438979,0.001084402675,0.02162497741,0.006716871406,2.424493473,7.615294537,-0.6742325784,-1.389682155,0.2073120248,0.9999909361,-0.0003276721455,0.2661506007,0.8139177684,0.1746525132,0.3275606331,0.3915086385,-0.003598615389,0.1618787401,0.3413143091,-188.021414,0.7497367545,0.7511118286,-1.117346886,0.7493083551,-0.5477671677,0,0,0,6,9,4,11,2,7,3,10,5,1,8
74,27,4.317488114,3.33220451,0.3648648649,0.6593378378,0.1274027745,-0.6016117778,3.533094141,1.044072846,0.5719983469,0.2126158665,0.9423376523,-0.03318816906,-0.2154061914,0.3814974343,,,,,,,,,,,,-0.5969036258,1,0,0,5,8,7,6,9,4,2,11,1,3,10
130,9,4.875197323,2.302585093,0.06923076923,22.18292308,15.79715614,0.1696121536,-0.9245721781,0.7478757929,-0.5744710722,0.242202389,0.6711022889,-0.1774473443,0.4022023704,0.4082202089,,,,,,,,,,,,-0.006017838513,1,1,0,3,1,6,10,8,7,4,11,2,5,9
950,9,6.857514063,2.302585093,0.009473684211,46.99407895,6.535976939,0.08087532126,-0.9573401625,0.3704969627,-1.471484969,0.4282617207,0.8825373371,-0.003071987896,0.5891466197,0.8569421609,-0.1652211416,0.2470234277,0.6760119936,-0.4439435522,-0.1652211416,0.4033706528,-0.4707575048,0.7613711125,-85.53300306,-0.1809085582,0.7827473827,-0.2677955413,1,1,1,9,1,3,8,2,6,4,11,10,5,7
286,9,5.659482216,2.302585093,0.03146853147,24.65734266,10.34009434,0.05593351,0.04978598191,0.865774767,-0.7804823204,0.1512081915,0.6897508704,-0.001232126625,0.02410405721,-0.06635310521,-0.1115761072,-0.354003787,-0.1875231895,-0.5030029074,-0.1115761072,-0.4112966305,-0.4422491835,-0.2613678805,-1.537657441,-0.05750279517,-0.2483024597,0.09045716242,1,1,0,3,1,5,2,10,6,8,9,4,7,11
8192,12,9.01103541,2.564949357,0.00146484375,83.96887207,18.40078131,-3.416123946,12.71668802,2.967237837,6.910090982,0.230519031,0.8810693839,-0.00723289435,0.7353680433,0.6886203697,0.1899878005,0.8346957564,0.9188842357,0.7049633125,0.1730290455,0.9254914388,-8.004875243,-0.08301589409,0.2006151759,0.03078073135,0.91090554,0.04674767361,0,1,0,10,5,4,9,3,6,1,7,11,2,8
200,10,5.303304908,2.397895273,0.05,-0.3373,4.463504308,0.2070986566,-0.3195268466,0.08327374175,-1.147928035,0.05900434064,0.1753428793,-0.001551333522,0.2809640156,0.7316456032,-0.03448581807,0.3363453267,0.4829815227,-0.00155229346,-0.03448581501,-0.0196093728,0.4608942391,0.4183134729,-2.136277784,0.1188665675,0.4515958265,-0.4506815875,1,1,1,8,1,5,10,6,4,2,7,9,3,11
294,13,5.686975356,2.63905733,0.04421768707,0.3605442177,0.4801583955,0.5808740766,-1.662585307,0.9525865187,-0.2012680893,0.1257994339,0.6255101133,-0.02012858968,0.3111109199,0.3052807446,-0.3777283372,-0.1450113487,0.1583559719,0.06206088993,-0.3777283372,-0.02006618216,-0.001362634151,0.1059980148,-196.5162404,-0.1706472909,0.1037131953,0.005830175382,1,1,0,4,6,5,1,8,2,7,3,9,10,11
6497,11,8.779249716,2.48490665,0.001693089118,5.818377713,0.8731880644,0.1895789113,0.2312201549,2.824707366,6.025542905,0.2447890454,0.7209340814,-4.52E-05,0.1508551445,0.2700902007,0.06533863855,-0.1705057621,0.07835177779,-0.2995520563,0.04675135628,-0.07469485653,-54.96617335,0.1785030362,0.09237588251,-0.00862380807,0.1411212683,-0.1192350562,0,1,0,9,8,1,7,4,5,3,6,10,2,11
6435,36,8.769662508,3.610917913,0.005594405594,3.668686869,2.213880083,0.352775134,-1.244137834,-1.096758768,-0.7062308379,0.4958010382,0.9606596844,-0.001073987986,0.5128367819,0.7020384357,0.546557327,0.4449686408,0.6913069637,0.2984596564,0.560140826,0.5145935762,0.484809411,0.6486878635,-1.277528686,0.7443987718,0.7627919912,-0.1892016537,0,1,1,10,1,4,8,5,7,2,6,11,3,9
13750,40,9.528866828,3.713572067,0.002909090909,-0.0008718690909,0.0004077877313,-1.354920144,2.59030587,0.3400491368,-1.742122007,0.2253984121,0.9999992422,-3.74E-05,0.3682399041,0.8230914508,0.6664982516,0.5373879275,0.6928975301,0.4311264204,0.6644860136,0.6917372521,-1107114.067,0.795643517,0.7339801322,-0.8782337385,0.8208650333,-0.4548515467,0,0,1,7,1,4,10,6,5,3,11,8,2,9
9822,85,9.192481854,4.454347296,0.008654041947,0.0596619833,0.2368595175,3.718136567,11.82453953,1.572029876,2.381879161,0.06875953075,0.9996249771,-0.0001547111167,0.02735586579,0.03339993084,-0.07277951118,-0.309704423,-0.1235581708,-0.9383919878,-0.06340796487,-0.4044942859,-0.9857216837,0.002210654808,-5.131835865,0.0008617515244,-0.140183568,-0.006044065057,0,1,0,1,7,9,5,8,2,4,10,3,6,11
