n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank
61,2,4.127134385045090,1.0986122886681100,0.03278688524590160,3.2903934426229500,0.3260825742092060,-0.16402696768192400,-0.37059415799050300,0.0,-2.0,0.05664999205671780,0.05664999205671780,-0.4362957655970380,-0.17433581317744400,-1743358131.7744400,0.18833655963619800,1883365596.3619800,-0.3626723728136410,1,0,0,1,2,3,4,5,6,7,8,9,10
303,13,5.717027701406220,2.6390573296152600,0.0429042904290429,0.9372937293729370,1.2265067259116700,1.0532483070030900,-0.15621171477513600,1.0008059009776800,-0.3550732106568480,0.1558857102232560,0.577536816729141,-0.00048116152600097300,0.217393691676119,2173936916.76119,0.5197885991961340,5197885991.961340,-0.3023949075200150,1,1,0,1,2,3,4,9,8,6,7,10,5
159,15,5.075173815233830,2.772588722239780,0.09433962264150940,11445.729559748400,5859.343216339360,1.5765463970758400,2.4811958332944100,0.9797714932967000,0.08812926142457390,0.3847409464325410,0.9719988006718850,-0.0005144105657548530,0.7833005057412030,7833005057.412030,0.7106502814609700,7106502814.609700,0.07265022428023300,1,1,1,7,8,9,1,3,4,5,2,6,10
398,7,5.988961416889860,2.0794415416798400,0.017587939698492500,23.514572864321600,7.806159061274430,0.45534192556309300,-0.5194245405990450,0.7536180504038380,-0.7626083967238400,0.5587302026508760,0.9333605245144150,-0.0008813493931174590,0.5572362524722970,5572362524.722960,0.8497420053487080,8497420053.487080,-0.292505752876411,1,1,1,7,6,8,3,5,1,2,4,9,10
125,4,4.836281906951480,1.6094379124341000,0.032,23.464,15.815204835853400,1.5711575973974400,2.9762566047714600,0.9617582536442950,-0.8371227650517840,0.3241608535405580,0.642857142857143,-0.005294914232750080,-0.021642446523143100,-216424465.23143100,-0.12450174392009500,-1245017439.2009500,0.10285929739695200,1,1,0,1,3,2,6,8,5,4,9,10,7
418,18,6.037870919922140,2.9444389791664400,0.0430622009569378,1917.7822966507200,1103.350821967930,0.47090441693552900,-0.4907107143713750,1.6682661384960400,2.4329343824054700,0.15549372915160200,0.5520799215143220,-0.0018205746051336300,0.23486007548255100,2348600754.8255100,0.4656095713295740,4656095713.295740,-0.23074949584702300,1,1,0,2,1,8,6,3,5,4,7,9,10
189,9,5.247024072160490,2.302585092994050,0.047619047619047600,2944.6560846560800,727.091228257506,-0.2084992549065060,-0.11085672904511200,1.3257569187468500,0.04794321943229150,0.11544392384635100,0.3390307448602250,-0.019245099599725500,0.6041339659976620,6041339659.976620,0.5807210700917920,5807210700.917920,0.023412895905870800,1,1,0,7,6,10,3,8,1,5,2,4,9
303,13,5.717027701406220,2.6390573296152600,0.0429042904290429,246.69306930693100,51.6914064726489,1.1298741026270500,4.398208250636750,1.35567956005084,0.4264826484930470,0.19320579775948400,0.577536816729141,-0.0018767357302618100,0.026118072590234500,261180725.90234500,0.1144924649949630,1144924649.9496300,-0.08837439240472830,1,1,0,3,1,7,2,4,5,6,8,9,10
108,5,4.6913478822291400,1.791759469228060,0.046296296296296300,1.2325925925925900,1.0721805147648500,1.9262308316260900,4.748231673347810,0.12501666961998600,-0.6682829302031950,0.2721021459225890,0.8522234032786360,-0.011098022922293400,0.5571446479341170,5571446479.3411700,0.9232582061925590,9232582061.925590,-0.36611355825844200,1,1,1,3,4,9,5,6,8,7,2,10,1
195,10,5.278114659230520,2.3978952727983700,0.05128205128205130,558.7282051282050,417.6427905357900,1.051579050359630,0.33374127940926900,0.8760966405211130,-0.03615565770814340,0.07835152448654310,0.26967721663724700,-0.03327676193142340,0.5184418235687240,5184418235.687240,0.5576935876404610,5576935876.404610,-0.03925176407173740,1,1,0,3,2,9,1,6,4,5,7,8,10
