dataset,n_samples,n_features,feature_ratio,target_std,target_skew,mean_feature_skew,mean_feature_kurtosis,zero_var_pct,mean_abs_corr,max_abs_corr,XGBRegressor_r2,LGBMRegressor_r2,RandomForestRegressor_r2,LinearRegression_r2,SVR_r2,TabPFNRegressor_r2,LGBMRegressor_rank,RandomForestRegressor_rank,SVR_rank,XGBRegressor_rank,LinearRegression_rank,TabPFNRegressor_rank
bike_sharing_demand,7038,11,0.001562944018186985,181.29766306819295,1.2617450452083183,-0.018616969821480592,-1.1647485251285954,0.0,0.19573270521493036,0.9905184449150074,-4.113846824882472e-05,0.9178217798587993,0.8940176948318383,-4.113846824882472e-05,0.2511178024878369,-4.113846824882472e-05,1,2,3,4,5,6
brazilian_houses,4329,11,0.002541002541002541,0.8000428786926418,0.30907931520784876,1.8979826611502877,2.048831120388164,0.0,0.46058011580379704,0.9874208271775388,-0.002029189763882666,0.9636241966737321,0.9875536803032207,-0.002029189763882666,0.931335450130548,-0.002029189763882666,2,1,3,4,5,6
superconductivity,8611,81,0.009406572988038556,34.0853460618228,0.8439857143823506,3.59637243618692,13.575943345135276,0.0,0.3445429612383758,0.997759054450773,0.8978646110586102,0.8942462330132305,0.8976014047506216,0.7205914778214457,0.4439997090259773,-0.0004092551649248488,3,2,5,1,4,6
wine_quality,3946,12,0.0030410542321338066,0.8787200803089037,0.20392990520455567,2.541718753668984,4.9491630307655905,0.0,0.2509868867365375,0.7268458723449741,-9.989413921784873e-05,0.44840504064625797,-9.989413921784873e-05,-9.989413921784873e-05,-9.989413921784873e-05,-9.989413921784873e-05,1,3,5,2,4,6
yprop_4_1,7196,62,0.008615897720956087,0.03038372477003361,-2.7910051301381613,2.4088491109345775,4.708733724814744,0.0,0.16984755877845142,0.9898709218888717,-0.006377265686213329,0.0752801128937034,0.08013794295362198,-0.006377265686213329,-0.14412122667685923,-0.006377265686213329,2,1,6,3,4,5
